Company Name,Published Date,Location,Skills Required,Job Description,Apply link
infinity business solutions pvt ltd,Posted few days ago,Gurgaon,"Cloud,Devops,Automation,Go,Ruby,Python,Devops,Softwareengineering,Python,Github,Technicalconsultant,Security,Cloudservices,Teamplayer,Ruby,Writtencommunication,Infrastructure,Forms","### - **Posted on:** 14-Jun-2020- **Position:** Cloud Architect ,  DevOps with hands-on coding in Python ,  Ruby ,  Go- **Location:** Gurgaon- **Experience:** 10 - 16 Yrs---##... More Details
",https://www.timesjobs.com/job-detail/cloud-architect-devops-with-hands-on-coding-in-python-ruby-go-infinity-business-solutions-pvt-ltd-gurgaon-10-to-16-yrs-jobid-gtm0gHQNOOpzpSvf__PLUS__uAgZw==&source=srp
infinity business solutions pvt ltd,Posted few days ago,Pune,"Trading,Python,C,.Net,Financialservices,C,Dbms,T-Sql,Git,Xml,Multithreading,Datastructures,Objectorientedprogramming,Python,Teamplayer,Productionenvironment,.Net,Softwaredeveloper","Posted on: 11-Feb-2017Lead Consultant-front Arena  ( Trading ,  Python ,  C    /  .net )  - PuneLocation: PuneExperience: 5 - 9 YrsHiring ,  following position in PuneMandator... More Details
",https://www.timesjobs.com/job-detail/lead-consultant-front-arena-trading-python-c-net-pune-infinity-business-solutions-pvt-ltd-pune-5-to-9-yrs-jobid-ZeTxSsKiDOFzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,Posted a month ago,Bengaluru / Bangalore,"Oraclepl/Sql,Python,Scripting,Aws,Etl,Autosys,Database,Java,Iam,Devops,Shellscripting,Teamplayer,Oraclesql,Unix","Oracle PL / SQL ,  Python ,  Scripting ,  AWS ,  ETL - DeveloperDate: Jan 24 ,  2024Location: Bangalore ,  KA ,  INCompany: NTT DATA ServicesOracle PL / SQL ,  Python ,  Scrip... More Details
",https://www.timesjobs.com/job-detail/oracle-pl-sql-python-scripting-aws-etl-developer-ntt-data-vertex-software-inc-bengaluru-bangalore-5-to-7-yrs-jobid-H3C5MfS0OF5zpSvf__PLUS__uAgZw==&source=srp
PUBLICIS GROUPE,Posted a month ago,Gurgaon,"Python,Ai,Machinelearning,Chatgpt,Regression,Algorithms,Artificialintelligence,Naturallanguageprocessing","Senior Associate - Python Developer - AI and Machine Learning and Chat GPTFull-timeCompany DescriptionRe:Sources is the backbone of Publicis Groupe ,  the worlds third-largest... More Details
",https://www.timesjobs.com/job-detail/senior-associate-python-developer-ai-and-machine-learning-and-chat-gpt-publicis-groupe-gurgaon-3-to-7-yrs-jobid-nDJ1ocmHKHBzpSvf__PLUS__uAgZw==&source=srp
Nutanix,Posted a month ago,Bengaluru / Bangalore,"Sdet,Python/C,Ahvhypervisorengineering,Testautomation,Debugging,Fundamentals,Algorithms,C,Storage,Java,Softwareengineering,Datastructures,Perl,Kernel","Member of Technical Staff - 3 SDET  ( Python / C )  - AHV Hypervisor Engineering - India Bangalore ,  India Req.Num.: 25086Hungry ,  Humble ,  Honest ,  with Heart.the Opportu... More Details
",https://www.timesjobs.com/job-detail/member-of-technical-staff-3-sdet-python-c-ahv-hypervisor-nutanix-bengaluru-bangalore-4-to-8-yrs-jobid-gfAHwTXj8ZtzpSvf__PLUS__uAgZw==&source=srp
Nutanix,Posted a month ago,Bengaluru / Bangalore,"Automationtesting,Python/C,Engineering,Networking,Virtualization,C,Testautomation,Tcpdump,Security,Usability,Java,Writing,Perl,Systemtesting,Ixia","MTS - 4 | Automation Testing Flow Security -  ( Python / C )  Engineering - India Bangalore ,  India Req.Num.: 25633The Opportunity:Nutanix pioneered the SDDC revolution by br... More Details
",https://www.timesjobs.com/job-detail/mts-4-automation-testing-flow-security-python-c-nutanix-bengaluru-bangalore-5-to-9-yrs-jobid-2ptEC7a6YwZzpSvf__PLUS__uAgZw==&source=srp
"AMAR TECHNOLABS PVT LTD
     (More Jobs)",Posted a month ago,Ahmedabad,"Machinelearmning,Mysql,Datascience,Training,Opps,Fresher,Html,Css,Python,Corepython,Javascript,Django,Intern,Database","Job descriptionLooking for python Developer who having basic skill on-Python programming-Django Framework ,  AI ,  Data Science-Good at OOPS  &  design patterns-Knowledge of R... More Details
",https://www.timesjobs.com/job-detail/python-developer-data-science-ml-ai-freshers-django-amar-technolabs-pvt-ltd-ahmedabad-0-to-2-yrs-jobid-13ltYa0yOpZzpSvf__PLUS__uAgZw==&source=srp
"AMAR TECHNOLABS PVT LTD
     (More Jobs)",Posted a month ago,Ahmedabad,"Pythonwebdeveloper,Django,Python,Ai,Iot,Machinelearning,Webdeveloper,Frontenddeveloper,Softwareengineer,Programmer,Developer,Fresher","Job Title: Fresher Python Web DeveloperCompany: ExcelPTP SolutionsLocation: Ahmedabad ,  IndiaJob Type: Full-timeExperience Level: 0-1 yearEducation: Any graduate can applyJob... More Details
",https://www.timesjobs.com/job-detail/software-developer-ai-developer-ml-fresher-python-web-developer-excel-ptp-solutions-ahmedabad-0-to-3-yrs-jobid-1SZihRliVyZzpSvf__PLUS__uAgZw==&source=srp
nestsoft technologies,Posted few days ago,Cochin/ Kochi/ Ernakulam,"Python,Machinelearning,Artificialintelligence,Deeplearning,Datascience,Mobile","Python Artificial Intelligence  ( Online Trainer Part Time )  Online Experience: 2 Years To 10 Years Salary : 30000- 50000  ( Month )  Part TimeQualification Required: Any Gra... More Details
",https://www.timesjobs.com/job-detail/jobs-internship-for-python-artificial-intelligence-online-trainer-part-time-freshers-part-time-in-cochin-nestsoft-technologies-cochin-kochi-ernakulam-2-to-10-yrs-jobid-5ztP2j1Z2__PLUS__ZzpSvf__PLUS__uAgZw==&source=srp
Nutanix,Posted few days ago,Bengaluru / Bangalore,"Python,Go,Cloud,Virtualization,Backenddevelopment,Storage,Hci,Docker,Devops,Debugging,San,Rest,Infrastructure,Webtechnologies","Member of Technical Staff - Python ,  Go ,  Cloud ,  Virtualization  (  6-12 yrs experience )  Computers / Software Bangalore ,  India Req.Num.: 25804Hungry ,  Humble ,  Hones... More Details
",https://www.timesjobs.com/job-detail/member-of-technical-staff-python-go-cloud-virtualization-6-12-yrs-experience-nutanix-bengaluru-bangalore-6-to-12-yrs-jobid-zK81IZ1RqYhzpSvf__PLUS__uAgZw==&source=srp
nestsoft technologies,Posted few days ago,Cochin/ Kochi/ Ernakulam,"Python,Django,Orm,Frontendtechnologies,Bootstrap,Html5,Mobile,Javascript","Python  /  Django Developer  ( Work from Home )  Online  ( Work From Home )  Part Time Experience: 2 Years To 8 Years Salary : 25000- 35000  ( Month )  Full TimeQualification ... More Details
",https://www.timesjobs.com/job-detail/jobs-internship-for-python-django-developer-work-from-home-freshers-full-time-in-cochin-nestsoft-technologies-cochin-kochi-ernakulam-2-to-8-yrs-jobid-eKg0eglW0xVzpSvf__PLUS__uAgZw==&source=srp
infinity business solutions pvt ltd,Posted few days ago,Pune,"Bloomberg,Marketdata,Unix,Linux,Python,L2/L3Support,C,Seniorsoftwareengineer,Sql,Apache,Java,Xml,Linux,Shellscripting,Mysql,Api,Technicalskills,Python,Sybase,Unix","## **Posted on:** 30-Apr-2016**Company:** Bloomberg**Location:** Pune**Experience:** 6 - 10 Yrs---### Core Responsibility:- Resource will be part of client services team.- Mai... More Details
",https://www.timesjobs.com/job-detail/bloomberg-market-data-unix-linux-python-l2-l3-support-infinity-business-solutions-pvt-ltd-pune-6-to-10-yrs-jobid-lDWMmirT8RpzpSvf__PLUS__uAgZw==&source=srp
